iter	Passed	Remaining
0	56	56413
1	57	28547
2	57	19133
3	58	14463
4	58	11672
5	59	9830
6	59	8466
7	60	7451
8	60	6667
9	60	6035
10	61	5532
11	62	5120
12	62	4757
13	63	4445
14	63	4166
15	64	3939
16	64	3743
17	65	3567
18	65	3394
19	66	3257
20	66	3112
21	67	2986
22	67	2871
23	68	2770
24	68	2674
25	68	2581
26	69	2504
27	69	2429
28	70	2356
29	70	2287
30	71	2221
31	71	2167
32	72	2109
33	72	2055
34	72	2003
35	72	1953
36	73	1907
37	73	1867
38	74	1828
39	74	1796
40	75	1757
41	75	1729
42	76	1699
43	77	1673
44	77	1648
45	77	1617
46	78	1593
47	79	1567
48	79	1541
49	79	1516
50	80	1492
51	80	1473
52	81	1455
53	81	1435
54	82	1414
55	82	1394
56	83	1379
57	84	1371
58	85	1356
59	85	1337
60	86	1324
61	86	1308
62	86	1292
63	87	1275
64	87	1259
65	87	1243
66	88	1228
67	88	1213
68	88	1198
69	89	1183
70	89	1168
71	89	1154
72	89	1141
73	90	1127
74	90	1114
75	90	1102
76	91	1091
77	91	1082
78	92	1074
79	92	1067
80	93	1055
81	93	1048
82	93	1036
83	94	1026
84	94	1020
85	95	1013
86	95	1003
87	95	994
88	96	985
89	96	978
90	97	969
91	97	961
92	97	952
93	98	945
94	98	938
95	99	933
96	99	926
97	99	919
98	100	914
99	101	909
100	101	904
101	102	898
102	102	892
103	103	888
104	103	881
105	103	875
106	104	869
107	104	865
108	105	859
109	105	852
110	105	847
111	106	842
112	106	838
113	107	832
114	107	828
115	108	825
116	108	820
117	109	815
118	109	809
119	109	806
120	110	802
121	110	796
122	111	794
123	112	792
124	112	789
125	113	785
126	113	779
127	113	775
128	114	772
129	114	768
130	115	765
131	115	760
132	116	756
133	116	752
134	117	749
135	117	746
136	117	743
137	118	739
138	118	736
139	119	732
140	119	729
141	120	725
142	120	721
143	120	717
144	121	713
145	121	711
146	122	708
147	122	706
148	123	704
149	123	700
150	124	697
151	124	695
152	125	692
153	125	689
154	126	687
155	126	685
156	127	683
157	127	680
158	128	677
159	128	674
160	128	670
161	128	666
162	129	663
163	129	660
164	130	659
165	130	656
166	131	655
167	131	653
168	132	650
169	132	648
170	133	645
171	133	642
172	134	640
173	134	638
174	134	636
175	135	635
176	136	633
177	136	632
178	137	630
179	137	627
180	138	625
181	138	624
182	139	621
183	139	619
184	140	617
185	140	616
186	141	614
187	141	611
188	141	609
189	142	607
190	142	605
191	143	603
192	143	601
193	144	598
194	144	596
195	144	593
196	145	591
197	145	590
198	146	588
199	146	587
200	147	585
201	147	583
202	148	581
203	148	580
204	149	578
205	149	576
206	150	575
207	150	572
208	150	570
209	151	568
210	151	565
211	151	563
212	151	561
213	152	560
214	153	559
215	153	557
216	154	556
217	154	554
218	154	552
219	155	550
220	155	548
221	155	546
222	156	545
223	156	543
224	157	541
225	157	540
226	158	539
227	158	537
228	159	536
229	159	535
230	160	534
231	160	532
232	161	531
233	162	530
234	162	529
235	163	527
236	163	526
237	164	525
238	164	523
239	164	522
240	165	520
241	165	518
242	165	516
243	166	514
244	166	513
245	166	511
246	167	511
247	168	510
248	168	508
249	169	508
250	169	506
251	170	505
252	170	503
253	170	502
254	171	500
255	171	498
256	172	497
257	172	495
258	173	495
259	173	494
260	174	493
261	174	492
262	175	491
263	176	490
264	176	489
265	176	487
266	177	486
267	177	485
268	177	483
269	178	482
270	178	481
271	179	480
272	179	478
273	180	477
274	180	476
275	181	475
276	181	474
277	182	473
278	182	472
279	183	471
280	183	470
281	184	469
282	184	467
283	185	466
284	185	465
285	185	464
286	186	462
287	186	461
288	187	460
289	187	459
290	188	458
291	188	457
292	189	456
293	189	455
294	190	454
295	190	453
296	190	451
297	191	450
298	191	449
299	192	448
300	192	447
301	193	446
302	193	445
303	194	444
304	194	443
305	194	442
306	195	441
307	195	440
308	196	439
309	196	438
310	197	437
311	197	435
312	198	435
313	198	434
314	199	433
315	199	432
316	200	431
317	201	431
318	201	430
319	201	429
320	202	428
321	202	427
322	203	426
323	203	425
324	204	425
325	205	424
326	205	423
327	206	422
328	206	421
329	206	420
330	207	419
331	208	418
332	208	417
333	208	416
334	209	415
335	209	414
336	210	413
337	210	413
338	211	411
339	211	410
340	212	409
341	212	408
342	212	407
343	212	406
344	213	404
345	213	403
346	213	402
347	214	401
348	214	399
349	214	398
350	215	399
351	216	398
352	216	397
353	217	396
354	217	395
355	219	396
356	219	395
357	220	394
358	226	404
359	226	403
360	227	402
361	228	401
362	235	412
363	235	411
364	235	410
365	236	409
366	236	408
367	237	407
368	237	405
369	237	405
370	238	403
371	238	402
372	239	401
373	239	400
374	240	400
375	240	399
376	240	398
377	241	397
378	241	396
379	242	394
380	242	393
381	242	392
382	243	391
383	243	390
384	244	390
385	244	389
386	245	388
387	245	387
388	246	387
389	246	386
390	247	385
391	247	384
392	248	383
393	248	382
394	249	381
395	249	380
396	250	379
397	250	379
398	251	378
399	251	377
400	252	376
401	252	375
402	253	375
403	253	374
404	254	373
405	254	372
406	255	371
407	255	370
408	255	369
409	256	369
410	256	368
411	257	367
412	257	366
413	258	365
414	258	364
415	259	364
416	260	363
417	260	362
418	261	361
419	261	360
420	261	360
421	262	359
422	262	358
423	263	357
424	264	357
425	264	356
426	265	355
427	265	355
428	266	354
429	266	353
430	266	352
431	267	351
432	267	350
433	268	349
434	268	348
435	269	348
436	269	347
437	270	346
438	270	345
439	271	345
440	271	344
441	271	343
442	272	342
443	272	341
444	273	340
445	273	339
446	274	338
447	274	338
448	274	337
449	275	336
450	276	336
451	277	335
452	277	335
453	277	334
454	278	333
455	278	332
456	279	331
457	279	331
458	280	330
459	280	329
460	280	328
461	281	327
462	281	326
463	282	326
464	282	325
465	283	324
466	283	323
467	284	322
468	284	322
469	285	321
470	285	320
471	286	320
472	286	319
473	287	318
474	287	317
475	287	317
476	288	316
477	288	315
478	289	314
479	289	314
480	290	313
481	291	313
482	292	312
483	293	312
484	293	311
485	293	310
486	294	310
487	294	309
488	295	308
489	295	307
490	296	306
491	296	306
492	297	305
493	297	304
494	298	304
495	298	303
496	299	302
497	299	301
498	299	300
499	299	299
500	300	299
501	300	298
502	301	297
503	301	296
504	302	296
505	302	295
506	302	294
507	303	293
508	303	292
509	303	292
510	304	291
511	304	290
512	305	289
513	305	289
514	306	288
515	306	287
516	307	286
517	307	286
518	308	285
519	308	284
520	308	284
521	309	283
522	309	282
523	310	281
524	310	281
525	311	280
526	311	279
527	312	279
528	312	278
529	313	277
530	313	276
531	313	276
532	314	275
533	314	274
534	315	274
535	316	273
536	316	272
537	316	272
538	317	271
539	317	270
540	318	270
541	318	269
542	319	268
543	319	267
544	320	267
545	320	266
546	321	265
547	321	265
548	322	264
549	322	263
550	323	263
551	323	262
552	324	261
553	324	261
554	325	260
555	325	260
556	326	259
557	326	258
558	327	258
559	327	257
560	328	256
561	329	256
562	329	256
563	330	255
564	330	254
565	330	253
566	331	253
567	331	252
568	332	251
569	332	250
570	333	250
571	333	249
572	334	248
573	334	248
574	335	247
575	335	247
576	336	246
577	336	245
578	337	245
579	337	244
580	338	243
581	338	243
582	339	242
583	339	241
584	339	241
585	340	240
586	340	239
587	341	239
588	341	238
589	342	237
590	342	237
